1da8347d8505c137fb07ff06bbcd3f2bf37409bc,ee2636b8670b1,"(""iommu/vt-d: Enable base Intel IOMMU debugfs support"")"
0c22056f8c43265da21a3dfe7b7e1379e5ff7c72,7ee30bc132c6,"(""KVM: x86: deliver KVM IOAPIC scan request to target vCPUs"")"
7a57c09bb1cb89239f38f690b87cdf2c7db76c34,0b665d304028,"(""KVM: vmx: Inject #UD for SGX ENCLS instruction in guest"")"
730ad0ede130015a773229573559e97ba0943065,b9c6ff94e43a,"(""iommu/amd: Re-factor guest virtual APIC (de-)activation code"")"
da72a379b2ec0bad3eb265787f7008bead0b040c,59ce0515cdaf3,"(""iommu/vt-d: Update DRHD/RMRR/ATSR device scope caches when PCI hotplug happens"")"
b0bb0c22c4db623f2e7b1a471596fbf1c22c6dc5,fd0c8894893cb,"(""intel-iommu: Set a more specific taint flag for invalid BIOS DMAR tables"")"
c853680453ac235e9010987a8bdaaba0e116d3c8,2406a307ac7d,"(""ovl: implement async IO routines"")"
53afcd310e867d25e394718558783c476301205c,0f831ec85eda,"(""ovl: simplify ovl_same_sb() helper"")"
469ff207b4c4033540b50bc59587dc915faa1367,11ea68f553e2,"(""genirq, sched/isolation: Isolate from handling managed interrupts"")"
8daee952b4389729358665fb91949460641659d4,525e6fabeae2,"(""i2c / ACPI: add support for ACPI reconfigure notifications"")"
81ee85d0462410de8eeeec1b9761941fd6ed8c7b,556ab45f9a77,"(""ioat2: catch and recover from broken vtd configurations v6"")"
96788c7a7f1e7206519d4d736f89a2072dcfe0fc,f5a68bb0752e,"(""iommu/vt-d: Mark firmware tainted if RMRR fails sanity check"")"
59833696442c674acbbd297772ba89e7ad8c753d,fd0c8894893c,"(""intel-iommu: Set a more specific taint flag for invalid BIOS DMAR tables"")"
59833696442c674acbbd297772ba89e7ad8c753d,e625b4a95d50,"(""iommu/vt-d: Parse ANDD records"")"
047d4cd2067b028e7bca906c5ce20f4c89b65386,cd82d82cbc04,"(""drm/dp_mst: Add branch bandwidth validation to MST atomic check"")"
87212b51bff02a6722d5e84f7842a6b0717eb7d4,cd82d82cbc04,"(""drm/dp_mst: Add branch bandwidth validation to MST atomic check"")"
fcf4638075964268bf8a0e212407096c6aab6fd3,cd82d82cbc04,"(""drm/dp_mst: Add branch bandwidth validation to MST atomic check"")"
c0368595c1639947839c0db8294ee96aca0b3b86,bb9051a2b230,"(""net: systemport: Add support for WAKE_FILTER"")"
9d0e0cd9a529ba68b2acda68b5075d4a5ea7118a,82c664b69c8b,"(""selftests: qdiscs: Add test coverage for ETS Qdisc"")"
611d779af7cad2b87487ff58e4931a90c20b113c,503ba7c69610,"(""net: phy: Avoid multiple suspends"")"
21039132650281de06a169cbe8a0f7e5c578fd8b,6d4ade986f9c,(GFS2: Add atomic_open support)
59359fc8a2f7af062777692e6a7aae73483729ec,92f11ea177cd,"(""net: hns3: fix set port based VLAN issue for VF"")"
903b85d3adce99a5301d5959c4d3c9d14a7974d4,22044f95faa0,"(""net: hns3: add support for spoof check setting"")"
23b4201dead410c4a5108a8e723240419ab75257,c6075b193462,"(""net: hns3: Record VF vlan tables"")"
5eb01ddfcfb25e6ebc404a41deae946bde776731,30d240dfa2e8,"(""net: hns3: Add mqprio hardware offload support in hns3 driver"")"
b09fe70ef520e011ba4a64f4b93f948a8f14717b,5a781ccbd19e,"(""tc: Add support for configuring the taprio scheduler"")"
531d3040bc5cf37dea01b118608347cca9325f9d,b1f9d3858f72,"(""ovl: use ovl_inode_lock in ovl_llseek()"")"
b53df2e7442c73a932fb74228147fb946e531585,b72053072c0b,"(""block: allow partitions on host aware zone devices"")"
cc3200eac4c5eb11c3f34848a014d1f286316310,01e99aeca397,"(""blk-mq: insert passthrough request into hctx->dispatch directly"")"
5e6bdd37c5526ef01326df5dabb93011ee89237e,5e2b17e712cf,"(""s390/dasd: Add dynamic formatting support for ESE volumes"")"
f967140dfb7442e2db0868b03b961f9c59418a1b,c43ca5091a37,"(""perf/x86/amd: Add support for AMD NB and L2I ""uncore"" counters"")"
58d6fee50e67bb1c69977f1a534ccb17bf58b0f1,cd5676db0574,"(""misc: eeprom: at24: support pm_runtime control"")"
012fc74517b25177dfede2ed45cd108258564e4a,e0c69ca7dfbb,"(""net: dsa: mv88e6xxx: Add ATU occupancy via devlink resources"")"
06669ea346e476a5339033d77ef175566a40efbb,d752a4986532,"(""net: memcg: late association of sock to memcg"")"
5d4f78564c9ca38146102c4f8998edcad5afbc22,4a71df50047f,"(""qeth: new qeth device driver"")"
a20f997010c4ec76eaa55b8cc047d76dcac69f70,0e27921816ad,"(""net: dsa: Use PHYLINK for the CPU/DSA ports"")"
ab14961d10d02d20767612c78ce148f6eb85bd58,d851b47b22fc,"(""net: fec: add interrupt coalescence feature support"")"
443d372d6a96cd94ad119e5c14bb4d63a536a7f6,7723f4c5ecdb,"(""driver core: platform: Add an error message to platform_get_irq*()"")"
14a0d527a479eb2cb6067f9e5e163e1bf35db2a9,b7404c7ecb38,"(""drm/i915: Bump ready tasks ahead of busywaits"")"
8ea6bb8e4d47e07518e5dba4f5cb77e210f0df82,ebece7539242,"(""drm/i915: Keep timeline HWSP allocated until idle across the system"")"
eafc2aa20fba319b6e791a1b0c45a91511eccb6b,8ee36e048c98,"(""drm/i915/execlists: Minimalistic timeslicing"")"
259170cb4c84f4165a36c0b05811eb74c495412c,c3b5a8430daad,"(""drm/i915/gvt: Enable gfx virtualiztion for CFL"")"
c951b0af2dddbb1f34be103029eb9030392d5554,6a79d848403d,"(""drm/i915: Lock signaler timeline while navigating"")"
c67b35d970ed3391069c21f3071a26f687399ab2,6a79d848403d,"(""drm/i915: Lock signaler timeline while navigating"")"
e3a36eb6dfaeea8175c05d5915dcf0b939be6dab,cdfee5623290,"(""driver core: initialize a default DMA mask for platform device"")"
d9815bff6b379ff46981bea9dfeb146081eab314,7e16f581a817,"(""ftrace: Separate out functionality from ftrace_location_range()"")"
5cde05c61cbe13cbb3fa66d52b9ae84f7975e5e6,1057d35ede5d,"(""cfg80211: introduce TDLS channel switch commands"")"
056e9375e1f3c4bf2fd49b70258c7daf788ecd9d,1d76250bd34a,"(""nl80211: support beacon report scanning"")"
0e1a1d853ecedc99da9d27f9f5c376935547a0e2,5de17984898c,"(""cfg80211: introduce critical protocol indication from user-space"")"
e93fc7b4544a5475cfdbc22f87e89f9829bf801c,7de3f1423ff9,"(""KVM: s390: Add new reset vcpu API"")"
0e635c2a8713e3e013b4adcb7cb7e28a048b7c42,b333293058aa,"(""qeth: add support for af_iucv HiperSockets transport"")"
17413852804d7e86e6f0576cca32c1541817800e,4a71df50047f,"(""qeth: new qeth device driver"")"
